time,position,velocity
0.0,0.0,0.0
0.01,0.0,504.0
0.02,5.04,505.48
0.03,10.0948,-2033.7113999999997
0.04,-10.242313999999997,-4588.331523
0.05,-56.12562923,5649.160622014998
0.06,0.3659769901499814,28796.68751374793
0.07,288.3328521276293,409.4004604445763
0.08,292.42685673207507,-144754.24880432058
0.09,-1155.1156313111308,-147272.42997512338
0.1,-2627.8399310623645,581975.1502847307
0.11,3191.9115717849427,1326205.5681262794
0.12,16453.967253047736,-1603384.0485823243
0.13,420.12676722449396,-8293852.234708307
0.14,-82518.39557985857,-237181.25036876462
0.15,-84890.20808354621,41571595.251302026
0.16,330825.74442947406,42897697.380031876
0.17,759802.7182297928,-166531148.91553926
0.18,-905508.7709255998,-383302167.21586305
0.19,-4738530.443084231,454982678.15870756
0.2,-188703.6614971552,2388646579.6638746
0.21,23697762.13514159,102563644.98415613
0.22,24723398.58498315,-11938342892.314217
0.23,-94660030.33815901,-12492835332.971857
0.24,-219588383.66787758,47649449433.65055
0.25,256906110.66862795,110775691228.37988
0.26,1364663022.952427,-129078749445.75616
0.27,73875528.49486518,-687906930230.5317
0.28,-6805193773.810452,-39376538013.427124
0.29,-7198959153.944724,3428256290305.9214
0.3,27083603749.11449,3637513431456.701
0.31,63458738063.6815,-13632998362597.559
0.32,-72871245562.29408,-32012581354125.17
0.33,-392997059103.5458,36611245472442.66
0.34,-26884604379.1192,198102383958034.8
0.35000000000000003,1954139235201.229,14165871553989.781
0.36,2095797950741.127,-984428848458275.4
0.37,-7748490533841.627,-1058928833583967.6
0.38,-18337778869681.305,3900278864064084.5
0.39,20665009770959.54,9250606531029300.0
0.4,113171075081252.53,-1.03817673620072e+16
0.41000000000000003,9353401461180.531,-5.704689258817679e+16
0.42,-561115524420587.4,-4891170261190736.0
0.43,-610027227032494.8,2.8266832218112352e+17
0.44,2216655994778740.8,3.082119435070048e+17
0.45,5298775429848789.0,-1.1157590166947409e+18
0.46,-5858814737098619.0,-2.6729649184086707e+18
0.47000000000000003,-3.258846392118533e+16,2.9432161300791813e+18
0.48,-3156302620393516.0,1.6426937343549002e+19
0.49,1.611130708150965e+17,1.641662847178965e+18
0.5,1.7752969928688618e+17,-8.116179577514384e+19
0.51,-6.340882584645522e+17,-8.969217279923918e+19
0.52,-1.531009986456944e+18,3.19165028800181e+20
0.53,1.6606403015448658e+18,7.723072085968494e+20
0.54,9.38371238751336e+18,-8.341880966833738e+20
0.55,1.0418314206796227e+18,-4.730026419973009e+21
0.56,-4.625843277905047e+19,-5.397073132810619e+20
0.5700000000000001,-5.1655505911861084e+19,2.330278289754449e+22
0.58,1.8137232306358383e+20,2.6096593123700707e+22
0.59,4.423382543005909e+20,-9.129143085420093e+22
0.6,-4.705760542414184e+20,-2.231315261610659e+23
0.61,-2.7018913158520777e+21,2.36370647563134e+23
0.62,-3.381848402207378e+20,1.3619241795256416e+24
0.63,1.328105695503568e+22,1.7464787865724866e+23
0.64,1.5027535741608167e+22,-6.690298591879892e+24
0.65,-5.187545017719076e+22,-7.59169938874733e+24
0.66,-1.2779244406466407e+23,2.611044141332235e+25
0.67,1.3331197006855943e+23,6.446233517065752e+25
0.68,7.779353217751346e+23,-6.69587626490886e+25
0.6900000000000001,1.083476952842486e+23,-3.921251795084088e+26
0.7000000000000001,-3.8129040997998395e+24,-5.581496591608912e+25
0.71,-4.371053758960731e+24,1.9207229132647146e+27
0.72,1.4836175373686416e+25,2.2081154486905757e+27
0.73,3.6917329860592174e+25,-7.467368013908564e+27
0.74,-3.7756350278493472e+25,-1.8621969469720328e+28
0.75,-2.2397604497569675e+26,1.8962781483312918e+28
0.76,-3.434823014256758e+25,1.1289611670889836e+29
